305,213,426,201,430,236,308,248
424,202,536,202,536,237,424,237
536,205,624,205,624,234,536,234
624,205,714,205,714,234,624,234
744,202,785,202,785,234,744,234
779,201,895,208,892,245,777,238
902,199,958,199,958,231,902,231
955,208,1019,208,1019,237,955,237
1015,210,1070,195,1079,229,1025,244
1072,205,1116,205,1116,234,1072,234
;
304,249,333,249,333,275,304,275
333,243,413,243,413,275,333,275
413,242,510,246,509,277,411,273
509,249,527,249,527,269,509,269
521,237,565,237,565,269,521,269
568,246,585,246,585,272,568,272
585,249,697,249,697,269,585,269
;
383,278,427,278,427,307,383,307
424,275,553,275,553,307,424,307
556,278,585,278,585,310,556,310
580,275,732,275,732,310,580,310
735,275,799,275,799,304,735,304
798,277,931,272,932,308,800,314
934,278,952,278,952,304,934,304
949,272,1048,272,1048,310,949,310
1046,276,1133,268,1136,300,1049,309
;
386,322,433,322,433,342,386,342
427,313,512,313,512,342,427,342
515,308,622,313,620,344,514,339
619,319,682,315,684,343,621,347
683,305,767,313,764,346,680,339
770,319,788,319,788,339,770,339
788,307,899,307,899,339,788,339
899,313,946,313,946,345,899,345
949,313,978,313,978,339,949,339
978,310,1051,310,1051,336,978,336
1051,307,1078,307,1078,336,1051,336
1078,308,1130,314,1127,341,1075,336
;
331,357,380,357,380,380,331,380
383,348,418,348,418,377,383,377
418,345,459,345,459,375,418,375
463,342,619,346,618,381,462,377
618,348,635,348,635,377,618,377
635,342,916,342,916,380,635,380
916,348,963,348,963,380,916,380
963,342,990,342,990,372,963,372
989,345,1083,340,1084,371,990,376
1081,346,1127,341,1131,371,1084,376
;
304,380,342,380,342,410,304,410
339,383,389,383,389,413,339,413
392,389,421,389,421,413,392,413
424,383,533,383,533,418,424,418
530,380,624,380,624,413,530,413
632,386,641,386,641,407,632,407
647,386,694,386,694,418,647,418
697,389,741,389,741,410,697,410
741,380,788,380,788,410,741,410
791,380,811,380,811,410,791,410
811,377,905,377,905,413,811,413
900,380,963,376,965,406,902,411
958,377,993,377,993,407,958,407
990,377,1075,377,1075,407,990,407
1078,380,1127,380,1127,416,1078,416
;
304,416,331,416,331,445,304,445
331,418,427,418,427,448,331,448
427,424,454,424,454,445,427,445
454,416,521,416,521,445,454,445
518,418,600,418,600,448,518,448
597,416,688,416,688,445,597,445
688,413,720,413,720,445,688,445
717,413,852,413,852,445,717,445
858,418,884,418,884,445,858,445
882,422,933,417,936,448,885,452
931,413,960,413,960,442,931,442
958,418,1001,418,1001,442,958,442
999,413,1054,413,1054,442,999,442
1060,421,1127,421,1127,445,1060,445
;
304,451,395,451,395,483,304,483
398,459,445,459,445,489,398,489
442,454,506,454,506,480,442,480
