147,241,191,241,191,274,147,274
188,238,244,238,244,271,188,271
241,238,286,238,286,271,241,271
286,238,392,238,392,268,286,268
392,238,421,238,421,268,392,268
421,236,557,236,557,274,421,274
560,241,572,241,572,268,560,268
578,236,654,236,654,268,578,268
664,233,763,242,759,280,660,271
761,236,814,236,814,268,761,268
817,236,893,236,893,265,817,265
896,236,961,236,961,265,896,265
973,238,991,238,991,265,973,265
;
165,277,247,277,247,312,165,312
244,279,349,268,353,303,248,314
360,268,436,279,431,313,355,302
430,271,522,271,522,303,430,303
523,271,598,280,593,314,519,305
592,274,716,274,716,309,592,309
716,271,796,271,796,303,716,303
799,271,914,271,914,303,799,303
911,271,946,271,946,300,911,300
946,280,988,280,988,300,946,300
;
165,312,212,312,212,342,165,342
212,309,454,309,454,345,212,345
455,304,549,308,548,340,453,336
545,306,790,306,790,345,545,345
790,306,820,306,820,336,790,336
817,306,858,306,858,336,817,336
864,312,994,312,994,336,864,336
;
165,354,206,354,206,380,165,380
203,348,238,348,238,377,203,377
234,347,323,342,325,374,236,379
327,342,392,342,392,374,327,374
392,348,469,348,469,371,392,371
469,345,492,345,492,374,469,374
495,342,569,342,569,380,495,380
576,342,656,351,652,385,572,375
651,342,725,342,725,380,651,380
725,339,850,342,849,375,725,371
861,348,876,348,876,371,861,371
879,342,994,342,994,371,879,371
;
168,392,215,392,215,415,168,415
216,377,303,385,300,420,213,412
297,386,327,386,327,410,297,410
333,389,351,389,351,410,333,410
350,380,483,376,484,413,351,418
489,380,522,380,522,407,489,407
519,377,640,377,640,413,519,413
637,377,716,377,716,407,637,407
725,377,864,377,864,407,725,407
864,383,914,383,914,415,864,415
914,377,952,377,952,407,914,407
961,386,994,386,994,404,961,404
;
168,418,194,418,194,448,168,448
191,418,244,418,244,448,191,448
241,415,277,415,277,445,241,445
274,415,300,415,300,445,274,445
303,413,380,413,380,445,303,445
377,412,464,416,462,446,376,442
465,420,660,414,661,442,466,448
660,415,713,415,713,445,660,445
716,421,767,421,767,442,716,442
767,413,796,413,796,442,767,442
793,410,946,410,946,442,793,442
952,413,967,413,967,439,952,439
964,413,1000,413,1000,442,964,442
;
168,460,215,460,215,489,168,489
212,448,327,448,327,480,212,480
324,457,382,451,386,481,327,488
383,448,495,448,495,477,383,477
495,457,587,457,587,477,495,477
587,457,622,457,622,477,587,477
619,448,649,448,649,477,619,477
649,448,722,448,722,477,649,477
717,446,772,451,769,482,715,477
767,454,826,454,826,483,767,483
826,445,944,445,944,477,826,477
944,457,961,457,961,474,944,474
958,445,1000,445,1000,474,958,474
;
166,489,262,485,263,516,168,521
261,486,341,482,343,513,262,517
336,482,414,486,412,516,335,513
413,489,489,489,489,519,413,519
485,483,559,479,561,510,487,514
554,480,598,480,598,516,554,516
607,486,622,486,622,513,607,513
622,480,790,480,790,513,622,513
796,492,840,492,840,513,796,513
846,480,917,480,917,510,846,510
917,487,997,475,1002,511,922,523
;
171,525,286,525,286,557,171,557
283,522,351,522,351,548,283,548
351,525,439,525,439,554,351,554
442,516,590,516,590,545,442,545
592,516,640,516,640,548,592,548
637,516,725,516,725,554,637,554
722,522,775,522,775,548,722,548
772,521,871,510,875,545,776,556
873,516,899,516,899,545,873,545
905,525,920,525,920,545,905,545
920,513,1003,513,1003,545,920,545
;
170,557,285,553,286,593,171,597
283,566,300,566,300,584,283,584
303,563,354,563,354,584,303,584
354,560,421,560,421,584,354,584
415,554,533,550,534,581,416,584
533,551,563,551,563,581,533,581
559,555,660,551,661,583,560,587
663,563,769,563,769,592,663,592
769,551,861,551,861,581,769,581
861,554,941,554,941,581,861,581
946,551,976,551,976,581,946,581
982,557,1003,557,1003,587,982,587
;
171,592,262,592,262,631,171,631
262,595,306,595,306,625,262,625
306,587,504,584,504,616,306,619
510,592,557,592,557,622,510,622
557,587,584,587,584,616,557,616
584,587,666,587,666,625,584,625
663,586,753,590,752,620,662,616
749,585,813,589,811,620,747,616
814,595,831,595,831,616,814,616
831,587,876,587,876,616,831,616
882,590,1005,590,1005,616,882,616
;
174,627,272,631,270,666,172,662
268,631,400,618,403,652,272,665
401,628,436,628,436,651,401,651
439,634,466,634,466,651,439,651
468,630,560,627,561,654,469,658
566,625,592,625,592,651,566,651
598,628,649,628,649,660,598,660
649,634,675,634,675,651,649,651
678,628,764,628,764,654,678,654
761,622,828,622,828,651,761,651
831,628,885,628,885,651,831,651
887,622,949,622,949,651,887,651
955,631,1003,631,1003,651,955,651
;
176,662,339,659,339,690,177,693
340,667,391,662,394,692,343,698
392,663,421,663,421,687,392,687
415,657,480,657,480,687,415,687
486,660,516,660,516,687,486,687
513,663,563,663,563,696,513,696
560,663,622,663,622,693,560,693
619,657,699,657,699,687,619,687
702,660,840,660,840,693,702,693
864,657,941,657,941,687,864,687
938,663,1008,663,1008,687,938,687
;
176,697,279,693,281,725,177,729
283,702,297,702,297,722,283,722
297,693,351,693,351,722,297,722
345,702,421,695,424,726,348,733
421,690,454,690,454,722,421,722
454,695,547,699,545,729,453,724
548,696,560,696,560,719,548,719
563,693,660,693,660,722,563,722
667,691,745,699,741,733,663,724
746,693,834,693,834,731,746,731
840,699,876,699,876,722,840,722
