355,144,418,144,418,179,355,179
421,161,442,161,442,182,421,182
447,158,538,161,537,182,447,179
569,162,718,150,721,183,572,194
719,158,736,158,736,176,719,176
737,148,807,143,810,175,740,181
823,144,875,144,875,184,823,184
869,144,1123,144,1123,190,869,190
;
612,190,696,190,696,236,612,236
687,193,777,193,777,239,687,239
;
279,234,429,251,424,291,274,273
436,251,537,251,537,283,436,283
540,244,683,254,681,281,538,271
699,242,759,242,759,274,699,274
762,228,823,228,823,277,762,277
826,239,884,239,884,271,826,271
884,238,1012,244,1010,277,883,271
1005,249,1146,238,1149,276,1008,286
;
314,291,364,291,364,338,314,338
366,283,430,283,430,332,366,332
436,288,476,288,476,323,436,323
473,288,546,288,546,320,473,320
560,291,595,291,595,323,560,323
603,286,658,286,658,323,603,323
667,286,759,286,759,320,667,320
754,291,820,291,820,320,754,320
826,300,889,300,889,326,826,326
892,300,956,300,956,323,892,323
956,294,973,294,973,323,956,323
976,291,1011,291,1011,323,976,323
1014,286,1138,286,1138,323,1014,323
;
349,346,404,346,404,378,349,378
405,336,551,329,552,366,407,373
561,350,640,341,643,364,563,373
641,338,687,338,687,366,641,366
696,338,736,338,736,366,696,366
742,338,800,338,800,366,742,366
806,338,962,338,962,375,806,375
967,346,1016,346,1016,375,967,375
1022,340,1071,340,1071,366,1022,366
1071,338,1126,338,1126,375,1071,375
;
320,387,387,387,387,421,320,421
381,384,517,384,517,421,381,421
528,390,580,390,580,421,528,421
586,384,609,384,609,413,586,413
615,392,690,392,690,413,615,413
696,390,728,390,728,413,696,413
728,388,775,392,773,416,726,413
785,384,832,384,832,416,785,416
832,390,910,390,910,416,832,416
918,390,976,390,976,410,918,410
979,385,1107,390,1105,427,978,422
;
323,444,401,437,403,464,326,472
398,433,465,433,465,470,398,470
470,439,505,439,505,465,470,465
505,442,563,442,563,465,505,465
566,436,670,436,670,465,566,465
673,439,751,439,751,470,673,470
754,439,788,439,788,465,754,465
785,439,863,439,863,473,785,473
858,433,921,433,921,462,858,462
921,439,950,439,950,470,921,470
953,439,1063,439,1063,473,953,473
1060,427,1123,427,1123,470,1060,470
;
317,485,372,485,372,511,317,511
378,491,424,491,424,511,378,511
424,485,468,485,468,511,424,511
470,488,534,488,534,514,470,514
540,485,569,485,569,511,540,511
572,494,615,494,615,517,572,517
615,488,670,488,670,511,615,511
670,491,707,491,707,508,670,508
742,491,839,480,842,507,745,518
846,488,953,488,953,511,846,511
953,485,996,485,996,508,953,508
1002,482,1040,482,1040,505,1002,505
1040,476,1094,476,1094,508,1040,508
;
323,534,378,534,378,563,323,563
404,540,491,540,491,560,404,560
494,540,577,540,577,563,494,563
595,540,632,540,632,560,595,560
632,534,673,534,673,560,632,560
677,538,788,531,789,557,679,563
798,522,889,530,886,565,795,557
886,537,910,537,910,563,886,563
915,537,1002,537,1002,560,915,560
1014,522,1083,522,1083,557,1014,557
;
173,583,268,583,268,603,173,603
313,578,418,572,420,606,315,612
439,575,538,583,536,611,437,603
546,583,557,583,557,600,546,600
557,580,670,580,670,609,557,609
673,586,707,586,707,606,673,606
